Date,Total,Acknowledgements,Abstract,Introduction,Theory,Methods,Chp1,Chp2,Conc
2019-07-03,1892,0,0,0,0,0,0,0,0
2019-07-04,1892,0,0,0,0,0,1892,0,0
2019-07-25,3284,0,0,0,858,0,2426,0,0
2019-07-26,3601,0,0,0,910,0,2691,0,0
2019-07-28,3965,0,0,0,1166,0,2799,0,0
2019-07-29,4186,0,0,0,1297,0,2889,0,0
2019-07-29,4436,0,0,0,1297,0,3139,0,0
2019-07-30,4655,0,0,0,1297,0,3358,0,0
2019-07-30,4739,0,0,0,1381,0,3358,0,0
2019-07-31,5262,0,0,0,1766,0,3496,0,0
2019-08-02,5311,0,0,0,1811,0,3500,0,0
2019-08-04,5297,0,0,0,1811,0,3486,0,0
2019-08-06,6526,0,0,0,3040,0,3486,0,0
2019-08-14,7153,0,0,0,3667,0,3486,0,0
2019-08-15,7514,0,0,0,4028,0,3486,0,0
2019-08-17,7685,0,0,0,4199,0,3486,0,0
2019-08-20,7843,0,0,0,4357,0,3486,0,0
2019-08-21,8263,0,0,0,4777,0,3486,0,0
2019-08-23,8433,0,0,0,4947,0,3486,0,0
2019-08-26,8847,0,0,0,5361,0,3486,0,0
2019-08-27,9223,0,0,0,5737,0,3486,0,0
2019-08-28,9505,0,0,0,6019,0,3486,0,0
2019-08-30,9958,0,0,0,6472,0,3486,0,0
2019-08-31,10039,0,0,0,6553,0,3486,0,0
2019-09-01,10636,0,0,0,7150,0,3486,0,0
2019-09-17,10658,0,0,0,7172,0,3486,0,0
2019-09-24,10680,0,0,0,7172,0,3508,0,0
2019-09-29,11345,0,0,0,7837,0,3508,0,0
2019-10-01,16426,0,0,357,7838,0,3689,3851,691
2019-10-04,18632,0,0,1116,7913,1411,3672,3837,683
2019-10-12,18933,0,0,983,7913,1994,3818,3542,683
2019-10-16,19175,0,0,904,7895,2333,3818,3542,683
2019-11-05,19940,0,310,898,7898,2350,4188,3591,705
2019-12-11,19977,0,310,935,7898,2350,4188,3591,705
2019-12-18,20454,159,310,1100,7942,2333,4128,3780,702
2020-01-14,20524,173,356,1110,7942,2333,4128,3780,702
2020-01-17,20480,167,354,1072,7930,2334,4141,3780,702
